Question,Answer
SMS Recharge,SMS Recharge
SMS Recharge,SMS Recharge
How to do double promotion of student,"While promoting the student if you want to skip One class. In that case, you can select the class for which would you like to promote and proceed. Please check, there is no separate option for double promotion. SIS --> Enrollments --> Promoting Students Or after promoting to the next class, you can shuffle the student to another class SIS --> Enrollments --> Student Class/Section Shuffling"
How to enable current academic year as default academic year.,Follow the below path to update the default academic year Settings --> SIS --> Academic year Settings --> Change Current Academic Year --> Select the year --> Change accordingly.
How to download only active students list.,Follow the below path to get the active students details report SIS --> Reports --> Student Contact Details --> Select the required fields and the status as Active --> Show report
How to download only active students list.,Follow the below path to get the active students details report SIS --> Reports --> Student Contact Details --> Select the required fields and the status as Active --> Show report
How to upload student details in Bulk,"Follow the below path with the branch-level access to upload the student details SIS --> Enrollments --> Student details --> Upload Student details Please follow the below points while uploading the student details 1) DOB and DOA should be MM/DD/YYYY format only 2) Mobile no should be 10 digits 3) Gender should be M or F 4) The class name and the section should be the same as updated in the system 5) In the file, it will not allow commas anywhere, Comma (,) will be treated as a new column, please replace the comma with a space"
How to change the section,Follow the below path to shuffle the student to other section or to change the section SIS --> Enrollments --> Student Class/ Section shuffling
How to shuffle the student to another class?,"Follow the below process to shuffle the student from One class to Another class. Method 1: Follow the below path to shuffle the student to another Class SIS --> Enrollments --> Student Class/ Section shuffling Method 2: If the fee plan assigned to the student (In this case, we need to shuffle the student along with the fee), then follow the below steps to shuffle the student. Search the student --> Action --> Class shuffling"
How to edit or update Date of Birth of a student?,"To edit or update Date of Birth of a student, follow the path given: SIS --> Enrollments --> Update student details --> Select the Class and Section --> Student Gender/DOB"
How to create a subject?,"To create the subjects, follow the steps given below: Step 1: Select the Subjects Management module and then select CBSE/State/Cambridge/IB/ICSE/Higher Ed accordingly under the Subjects menu. (Subjects Management ---> Subjects ---> CBSE/State/Cambridge/IB/ICSE/Higher Ed Subjects) Step 2: Select the details like Branch type, Class Categories/Programmes accordingly and then select the respective Class. Step 3: The default subject groups added will appear. Against the respective group, click on the + icon and then fill in the details like Subject Name, Sequence No, No of Credits and subject outcomes evaluation then click on Save."
How to copy subjects from previous academic year?,"To copy subjects from previous academic year , follow the steps given below: Step 1: To copy subjects from previous academic year, go to the Subjects Management module and then select CBSE/STATE Subjects under the Subjects menu. (Subjects Management-->Subjects-->CBSE/STATE Subjects) Step 2: Click on the Copy Subjects, select the details like Branch Type, Class Type, Board, Class and From Academic Year then click on Get. Step 3: Select the Subjects Yet to Assign tab. Select the Subjects to be copied by clicking on the check boxes accordingly then select the Board, Class and Academic Year in to which you want the subjects to be copied. Click on Save."
How to update parent's mobile number,"You can update the parents mobile number by following the below path SIS --> Enrollments --> Update student details --> Select the class and Section --> Parent details --> Parents mobile number. Update the mobile number and click on ""Tick"" symbol to save."
How to update the Student/Parent details,"Follow the below path to update the Student/Parent details. SIS --> Enrollments --> Update student details-->Select the respective class and section and click on Get-->To update student details select accordingly and update. To update Parent Details, select the Parent details option and update the details accordingly."
How to change or update student Mobile No or Contact Number/Email Id?,"To update the student contact number or mobile number or Email Id, follow the path given: SIS --> Enrollments --> Update student details --> Select the class and Section --> Email ids --> Student Email / Mobile No Details"
How to update the student admission date,"Please note, if the student is not promoted to next academic year, then follow the below path to update the student admission date Search the student --> Click on Edit icon against the Admission date, change the date --> Update."
How to map the master subjects to a subject?,"Please follow the below path to map the master subjects to the subject SIS --> Subjects --> Subject Creation --> Select the branch type, Class category and Board --> Click on the edit icon against the subject, under the action column --> Select the master subject --> Save Note: Master Subjects feature helps the school to group the subjects that are used across different academic years to one Master Subject. This will help the system to map the performance of a student across all academic years in the subjects that are mapped to a master Subject."
How to assign a class teacher,"Class teachers can have full access to the assigned Class and Section. Class teachers can take attendance, create the tests, enter the marks, and can send communication alerts to the students. Follow the below path to assign the class teacher to a class. SIS --> Timetable --> Teacher Management --> Assign Class Teacher --> Search the staff --> Click on + Symbol --> Select the Class and hit ""Get"" --> Select the section and Assign."
How to assign subject teacher,"Follow the below path to assign the subject teacher SIS --> Timetable --> Teacher Management --> Click on Subject Teacher --> Select the Class --> Click on ""Assign Subject Teacher"" --> Search the staff --> Click on + Symbol --> Select the Class and Subject and hit ""Get"" --> Select the Section and Assign."
How to assign Co-ordinator to a class,"Follow the below path to assign the Class Coordinator SIS --> Timetable --> Teacher Management --> Click on Co-ordinators --> Click on ""Assign Co-ordinators"" --> Search the Staff --> Click on + Symbol --> Select the Class and ""Assign""."
How to assign class categories incharge,"Follow the below path to assign the categories incharge to a class SIS --> Timetable --> Teacher Management --> Click on ""Class Categories Incharges"" --> Click on Class Categories Incharges --> Search the Staff and Click on + Symbol --> Select the Class Category and Assign"
How to make student inactive?,Follow the below steps to inactive the student Step 1: Follow the below path to place the request for student inactivation SIS --> Enrollments --> Student Details --> Select the Class and Section --> Click on Inactive/Suspend against the student --> Update the required details and click on Proceed to Inactive Request Step 2: This request will go to Principal or the System admin. Follow the below path to approve the inactive request. Principal access level: SIS --> Approvals --> Approve Inactive / Reactive Requests --> Click on Proceed to Approve --> Update the remarks and Approvestem Admin Access level: SIS --> Approvals --> Approve Inactive / Reactive Requests --> Select the Location and the Branch hit Get --> Click on Proceed to Approve --> Update the remarks and Approve.
How to Reactive student or activate student?,"To activate student or reactive student who is in inactive status, follow the steps given: Step 1: Follow the below path to place the Reactive request SIS --> Enrollments --> Student details --> Select the Student status as ""Inactive"" --> Select the Class and Section --> Click on ""Reactive"" against the student --> Update the necessary fields and Save. Step 2: Follow the below path with Principal/ System admin access to approve the reactive request. SIS --> Approvals --> Approve Inactive/Reactive Requests --> Approve Students to Active --> Select the student --> Approve"
How to update Student Observations?,Follow the below path to update the student observations Method 1: Dash board at branch level access --> Student observations --> +Observations --> Search the student --> Update the necessary details and click on Save Method 2: Learner Profile --> Academic Observations --> Student Observations --> +Observations --> Update the necessary details and click on Save
How to enable click to call?,"This option is by default enabled for you, you need to recharge the balance for Voice messages by following the below path Voice Calls --> Voice Message --> Subscribe/Recharge Voice message"
How to check user credentials?,"Follow the below path to check the user credentials SMS --> Send SMS --> Send SMS --> Send Login Details --> Select the user type (Whose user details would you like to check Staff/Student/Parent) --> Will get the list of users with their user name and the password (Hover the mouse pointer on the password, can view the password)"
How to send email to students?,"Follow the below path to send the Email. Email --> Email --> Send Email Note: Before sending the email, need to update the from mail id against the type Settings --> Communication --> Email Settings Note: The Email that is defined here is used as From Email Address when an email is sent from the MCB System. Add Email Id against the type as per your preference at a global level or branch level. Please note that, if email ids are not saved against the branch, organization email ids are considered. If you have not registered / whitelisted your school specific domain, by default all email communication will be sent from admin@myclassboard.in To use your school specific domain to send email, please configure the same."
How to send email to staff?,"Follow the below path to send the email to staff Email --> Email --> Send Email to Staff Note : You can use our AI tool to draft an Email by clicking on ""Help MCB AI to draft an Email"""
Can I transfer the SMS Balance from one branch to another?,"Yes, you can transfer SMS balance from one branch to another branch by following the below path with the system admin access level. Settings --> Communication --> SMS Transfer"
How to create Student Daily Log Menus?,"Follow the below path to create the student daily log menu Communication --> Communication --> Student Daily Log Menus --> Manage Activity --> +Add Activity After creation of log menu, select the Activity name and assign to Classes by clicking on ""Assign to Branch"" Note: The student's daily log is used for recording the status of tasks that supposed to be completed as defined by the school. The details of the student daily log saved by the class teacher are made available in parent login. School admin can view the daily log report for the selected week in student search. Best suited for pre-primary classes."
How to update student daily log entry,The student's daily log records the status of tasks that are supposed to be completed as defined by the school. The details of the student's daily log saved by the class teacher are made available in the parent login. Follow the below path to enter the student daily log entry Communication --> Communication --> Student Daily Log Entry
How to send fee due SMS?,"Please follow the below path to send the fee-due SMS SMS --> Send SMS --> Send Fee Due SMS Note: You can send the fee due SMS, installment-wise, Month wise and Zero paid students"
How can we send an Announcement?,"We can send the announcement to the Student/ Parent by following the below path Announcements --> Announcements --> Announcements --> +New Announcement Parents/Students can able to view the Announcements in their Parent app While sending the announcements, can add the Links, Images, Videos and the File attachment which is of less than 50 MB."
Where can we update School events?,Follow the below path to create the School events School Calendar --> School Calendar --> School Calendar --> + Add School Event
How to update General Holidays,Follow the below path to update the holidays School Calendar --> School Calendar --> School Calendar --> +General Holiday
How to upload events?,Follow the below path to upload the events School Calendar --> School Calendar --> School Calendar --> Upload Event
How to send login credentials by SMS,Follow the below path to send the Student/Parent/Staff login credentials by SMS SMS --> Send SMS --> Send SMS --> Send Login Details
How to send the login details by Email?,Follow the below path to send the login credentials of Students/Parents/Staff by Email Email --> Email --> Send Login Details
Where can i check SMS delivery report,Follow the below path to check SMS delivery report SMS --> Reports --> SMS Delivery Report
How to update DLT approved sms templates?,"After approving the SMS templates from the DLT service provider, follow the below path to update approved SMS templates. SMS --> SMS --> SMS Templates --> DLT Approved Templates --> Add Template"
How to check email log report?,Follow the below path to check the email log report Email --> Reports --> Email Log Report
How to give student diary?,"The diary will be directly published in the parent portal. Follow the below path to give the diary Diary --> Diary --> Student Diary --> Select the class and hit ""Get"" --> +Diary Note: The subject teacher can able to post the diary based on the assigned subject. However, the Class teacher/Class Co-Ordinator/Principal can able to post the diary for all the subjects."
How to Edit/Delete the diary?,"Follow the below path to make the changes or to delete the given diary details Diary --> Diary --> Student Diary --> Select the Class, Date and hit Get --> Add/Edit diary --> Click on Edit icon to update or Click on Delete icon to delete the diary"
How to send Student birthday wishes,Follow the below path to send the birthday wishes by SMS/Email/WhatsApp School Calendar --> Birthday Calendar --> Student Birthday Calendar Note: You can send the birthday wishes individual student wise or you can use Bulk SMS/Email
How to send Staff birthday wishes,Follow the below path to send the birthday wishes by SMS/Email/WhatsApp School Calendar --> Birthday Calendar --> Staff Birthday Calendar Note: You can send the birthday wishes individual student wise or you can use Bulk SMS/Email
How to upload Event Photos Or Videos,"Follow the below path to update the Event Photos/Videos against an Activity in the photo gallery Photo Gallery --> Photo Gallery --> Photo Gallery --> +Activity Note: After uploading the Photos/Videos, Students/Parents can able to view the photos in the Parent app and the Web version"
How to Edit/Delete the Photos against an event,"The user who created the Activity, can able to Edit/Delete the photos uploaded in the photo gallery. Follow the below path to update the photos Photo Gallery --> Photo Gallery --> Photo Gallery --> Click on Edit icon/Delete icon against the Activity name to make changes"
How to send absent notification to students,Follow the below path to send the absent notification Notifications --> Attendance Notifications --> Send Notifications to Absent Students
How to add photos to the Photo Gallery?,"To add photos to the Photo Gallery please follow the steps given below: Step 1: To add photos to the photo gallery go to the Connect module on pallette, go to the photo gallery and select add activity in the photo gallery menu. (Connect-->Photo Gallery-->Photo Gallery-->Photo Gallery-->+Activity) Step 2: Fill in the details accordingly.(Class, Section, Subject/General, Activity Title, Date & Description). Step 3: Select the file type.(Image/Video) a) If the file type is an image, we can either upload it by selecting choose files option or we can also update by copying the URL link. b) If the file type is a video then directly the video link can be added. Step 4: After filling all the details, click on Save Activity then the photos will be added. Applicable only when the approval settings are enabled: a) If the approval setting is enabled , then the photo gallery will be shown in the parent portal only after it is approved by the principal/co-ordinator. b) If the approval setting is not enabled then the photo gallery will be directly appeared in the parent portal. APPROVAL SETTINGS: a) To give the access to the principal/co-ordinator for the approval of Photo Gallery please follow the settings given below: (Settings-->Organisation-->Organisation Settings-->Communication Settings) b)To enable the approval settings and approve the photos added , please follow the settings given below: ( Communication-->Approvals -->Approve Photo Gallery)"
How to approve Announcements,Follow the below path with the Co Ordinator or Principal access level to approve announcements Communication --> Approvals --> Approve Announcements
How to approve Photo Gallery,Follow the below path with Co Ordinator/Principal access level to approve the photo gallery Communication --> Approvals --> Approve Photo Gallery
How to approve student diary?,Follow the below path with Co Ordinator/Principal access level to approve the student diary Communication --> Approvals --> Approve Diary
How to enable chat settings,Follow the below path to define the users to whom would you like to enable the chat with the students. Students can able to chat with the selected users by login to Parent app/Web version. Settings --> Communication --> Chat / Student Wall Settings
How to subscribe for WhatsApp Two way communication,"Follow the below steps to subscribe for Whatsapp Two way communication Login in the web version with Student/Parent credentials --> Click on WhatsApp alerts --> Click on Subscribe against the mobile no When a parent opt-in/subscribes for WhatsApp, two-way communication is enabled. Schools can send messages using templates Parents can get the latest updates from school by sending a keyword from their WhatsApp. Example: If a parent sends a keyword as ANNOUNCEMENT: Gets the latest announcement sent by the school, ASSIGNMENT: Gets the latest assignment given by the school"
Where to check WhatsApp Two way subscribed students report,Two-way communication is enabled. Parents can get the latest updates from school by sending a keyword from their WhatsApp. Follow the below to check the WhatsApp Two way subscribed students report WhatsApp --> WhatsApp Account --> WhatsApp Subscriptions Dashboard
How to copy the personal mobile no to whatsapp no,Follow the below path to copy the personal no as whatsapp no WhatsApp --> WhatsApp Account --> Manage Parent WhatsApp Numbers --> Select the Class-Section and hit Get --> Copy Personal No to WhatsApp No
How to add Diary,"The student diary can be updated by the Class Teacher, Subject Teacher, Co-ordinator, Principal, Computer Operator or data entry operator if access is provided. Step 1 : To create Diary, visit Connect on modules pallette, go to Diary module, choose Student diary option under Diary menu. ( Connect--> Diary Module --> Diary Menu--> Student diary ) Step 2: Subject wise diary creation --> Users can add both Subject wise diary and General diary on this page. Subject wise diary : 1. To add a subject wise diary, click on +diary button on the top right corner, select the class, section and the subject against which you want to add the diary. 2. Fill the details of classwork, homework - task, Home work - Assignment, Homework- project. 3. You can also add attachments against a particular classwork, homework or description by clicking on choose file. 4. click on save. Note: If homework assignment and homework project are given in a diary, the submission date and submission time are mandatory. General Diary: 1. To add a General diary, select the class and section against which you want to add the diary 2. Add the title for the diary. 3. Write the general remarks 4. You can also add attachments against the remarks by clicking on choose file 5. Click on save. Step 3: Applicable only when approval settings are enabled. 1. If Approval setting is enabled, the diary will be shown only after approval by the principal/coordinator. 2. If Approval settings are not enabled for your school. Diary will be directly published in parent portal as soon as teacher adds in the dairy. To approve the dairy visit Connect on modules pallette, go to Diary module, choose Approve Diary option under Diary menu (Connect--> Diary--> Approve Diary ) Reference Video Link add Diary"
How to view submitted Diary,"The student diary submission can be updated by the Class Teacher, Subject Teacher, coordinator, Principal, Computer Operator or data entry operator if access is provided. Note : They can view the submission dairy only if the homework is provided by subject teacher or class teacher. Step 1: To give remarks or make corrections to the submissions in diary, visit connect on modules pallette, go to diary module, choose student dairy option under diary menu. click on student dairy submissions. ( Connect--> Diary Module --> Diary Menu--> Student Diary --> Student Diary Submissions ) Step 2: 1. The list of students who submitted diary against the class, section and date you have chosen will appear below. 2. You can view the submission student count on how many students have submitted the Diary, click on the number under the submission student diary to update corrections or remarks."
How to add Class Activity in School Calendar,"The school calendar can be updated by the Principal, Computer Operator, coordinator Step 1 : To update information in school calendar,visit Connect on modules pallette, go to school calendar module, choose school calendar under school calendar menu. ( Connect --> school calendar module --> school calendar menu --> school calendar ) To Add Class Activity i. To add class activity visit Connect on modules pallette, go to school calendar module, choose school calendar under school calendar menu, click on add class activity. ( Connect --> school calendar module --> school calendar menu --> school calendar --> + Add class activity ) ii. Fill the necessary fields ( sub category, competition levels, competition name, No. of days, event start date, individual top performers or team winners) iii. If the student is an individual top performer mention the total number of top performers in the event and if there is a team winner for this activity then select the number of teams and the size of the team in the activity. iv. You can also upload images against the class activity by clicking on the check box under upload image and choose the file. v. Click on save and proceed."
How to add School Event in School Calendar,"Step 1 : To update information in school calendar,visit Connect on modules pallette, go to school calendar module, choose school calendar under school calendar menu. ( Connect --> school calendar module --> school calendar menu --> school calendar ) To add school event i. To add school event visit Connect on modules pallette, go to school calendar module, choose school calendar under school calendar menu, click on add class activity. ( Connect --> school calendar module --> school calendar menu --> school calendar --> + Add school event ) ii. Fill the necessary fields ( start date, No. of days, Event Type, Event Name, description if required. iii. If you like to capture image, select Yes or No. iv. You can also upload images against the school event by clicking on choose file in the attach file option v. Click on save and close. If you want to add another event click on save and proceed to add another event. Uploading school events i. To upload school event in bulk click on upload event and select the event type and select the choose file option to upload the sheet. ii. All the photos that are uploaded or captured will automatically be added to the photo gallery. iii. Click on validate to upload."
How to add General Holiday in school Calendar,"Step 1 : To update information in school calendar,visit Connect on modules pallette, go to school calendar module, choose school calendar under school calendar menu. ( Connect -->School Calendar Module --> School Calendar Menu --> School Calendar ) To Add General holiday i. To add general holiday, visit Connect on modules pallette, go to school calendar module, choose school calendar under school calendar menu, click on add class activity. ( Connect --> School Calendar Module --> School Calendar Menu --> School Calendar --> + General Holiday) ii. Fill the necessary fields (Start Date, No of days, Holiday Name, description if required. iii. If you like to capture image, select Yes or No. iv. You can also upload images against the general holiday by clicking on choose file in the attach file option v. Click on save and close. If you want to add another event click on save and proceed to add general holiday."
How to add Public Holidays in school calender,"Step 1 : To update information in school calendar, visit Connect on modules palette, go to school calendar module, choose school calendar under school calendar menu. ( Connect --> School Calendar Module --> School Calendar Menu --> School Calendar ) To Add Public Holiday i. To add public holiday visit Connect on modules palette, go to school calendar module, choose school calendar under school calendar menu, click on add public holiday. ( Connect --> School Calendar Module --> School Calendar Menu --> School Calendar --> + Add public Holiday ) ii. Fill the necessary fields (Date, Holiday Name, description if required.) iii. If you like to capture image, select Yes or No. iv. You can also upload images against the public holiday by clicking on choose file in the attach file option v. Click on save and close. If you want to add another event click on save and proceed to add another holiday."
How to add Vacation in School Calendar,"Step 1 : To update information in school calendar, visit Connect on modules palette, go to school calendar module, choose school calendar under school calendar menu. ( Connect --> School Calendar Module --> School Calendar Menu --> School Calendar ) To Add Vacation i. To add Vacation visit Connect on modules palette, go to school calendar module, choose school calendar under school calendar menu, click on add vacation. ( Connect --> School Calendar Module --> School Calendar Menu --> School Calendar --> + Add Vacation ) ii. Fill the necessary fields ( Start Date, No of days, Vacation Holiday types, description if required.) iii. You can also upload images against the vacation by clicking on choose file in the attach file option iv. Click on save and close. If you want to add another event click on save and proceed to add another vacation."
How to add preparatory holidays in School Calendar,"The school calendar can be updated by the Principal, Computer Operator, coordinator Step 1 : To update information in school calendar, visit Connect on modules palette, go to school calendar module, choose school calendar under school calendar menu. ( Connect --> School Calendar Module --> School Calendar Menu --> School Calendar ) To add preparatory holidays i. To add preparatory holidays visit Connect on modules pallette, go to school calendar module, choose school calendar under school calendar menu, click on add class activity. ( Connect --> School Calendar Module --> School Calendar Menu --> School Calendar --> + Add Preparatory Holidays) ii. Fill the necessary fields (Start Date, No of days, Preparatory Holidays, description if required. iii. You can also upload attachments against the preparatory holidays by clicking on choose file in the attach file option iv. Click on save and close. If you want to add another holiday click on save and proceed to add another preparatory holiday."
How to send Birthday wishes to Students in School Calendar,"Step 1 : To update information in birthday calendar for students ,visit Connect on modules palette, go to school calendar module, choose student birthday calendar under birthday calendar menu. ( Connect --> School Calendar Module --> Birthday Calendar Menu --> Student Birthday Calendar ) Step 2: i. Fill the details like class, section and academic month and click get. ii. Details regarding the number of students who have birthdays in that particular academic month that is selected will appear below. iii. Click on a particular date to view the profile of the students who have birthdays with respect to that date. iv. You can send birthday wishes to those students through SMS, email, or WhatsApp individually or in a bulk. v. If you want to send birthday wishes to students individually, click on SMS, email or WhatsApp, with respect to that particular student to whom you want to send. vi. If you want to send birthday wishes to students in a bulk, click on send bulk SMS or Bulk email. Note: The SMS which you are going to send should be approved by DLT. To know how to get DLT approval search the below question How to register for the DLT Approval to use the SMS Service?"
How to send birthday wishes to staff in School Calendar,"Step 1 : To update information in birthday calendar for staff ,visit Connect on modules palette, go to school calendar module, choose staff birthday calendar under birthday calendar menu. ( Connect --> School Calendar Module --> Birthday Calendar Menu --> Staff Birthday Calendar ) Step 2: i. Fill the details like staff type and staffs birthday and academic month and click get. ii. Details regarding the number of staff who have birthdays in that particular academic month that is selected will appear below. iii. Click on a particular date to view the profile of the staff who have birthdays with respect to that date. iv. You can send birthday wishes to those staff through SMS, email, or WhatsApp individually or in a bulk. v. If you want to send birthday wishes to staff individually, click on SMS, email or WhatsApp, with respect to that particular staff to whom you want to send. vi. If you want to send birthday wishes to staff in a bulk, click on send bulk SMS or Bulk email. Note: The SMS which you are going to send should be approved by DLT. To know how to get DLT approval search the below question How to register for the DLT Approval to use the SMS Service?"
How to assign Language/Optional subjects to students,"You need to assign the Language subjects and the Optional subjects, based on the students choice. However no need to assign the general subjects. Follow the below path to assign the subjects. SIS --> Enrollments --> Assign Languages Note: You can assign the subject by subject wise or the student wise. If you want to assign the subject to in bulk, use the subject wise option Note : If you are unable to change the language subject please make sure that there are no marks entered for already assigned subject. If you want to assign the same language subjects as per the previous academic year, please follow the below path to copy SIS --> Enrollments --> Assign Languages --> Copy"
How to assign students into student groups,"Follow the below path to add the students into groups. SIS --> Enrollments --> Student Groups --> Click on + symbol against the group --> Select the Class, Section and click ""Get Students"" --> Select the student and the group --> Update. Note: Student can be tagged only in one Academic/House/Practical/Finance/School store group. Please use, custom tags to assign the student to multiple tags."
How to assign segment to student,"Follow the below path to assign the segment to a student SIS --> Enrollments --> Assign Segment To Students Note: If the student having the fee of Segment fee plan, you can't change or delete the segment of that student from this screen, you have to change the segment from change fee plan screen."
How to get the student profile cards,"Student profile cards can be printed, share with the parent for checking the data, and collect the required corrections. Follow the below path to get the student profile details SIS --> Enrollments --> Student Profile Cards"
How to create attendance timings,"To give the daily attendance, First we need to create the attendance timings, by following the below path SIS --> Attendance --> Attendance Timings --> Create Structure"
How to add attendance absent remarks,"Follow the below path to add the absent remarks, these remarks you can select while marking the absent. SIS --> Attendance --> Attendance Timings --> Attendance Absent Remarks --> Add Absent Reason"
How to give attendance to students?,"Follow the below path to give the attendance. Class teacher/Co-Ordinator/Principal can take the attendance SIS --> Attendance --> Give Daily Attendance --> Select the Class, Section, Date and hit ""Get Students"" --> By default all the students selected as Present, uncheck the students who are absent for the day --> Save Attendance If the student is shuffled to another section, you can give the attendance in the new section from tomorrow onwards for that students Note: If the biometric attendance is activated, you can not edit the attendance"
How to update weekoffs,"Follow the below path to update the weekoffs. If the day is marked as Weekoff/Holiday, you can not give the attendance for that day SIS --> Attendance --> Give Daily Attendance --> Manage Weekoffs"
How to upload student absentees,"Follow the below path to upload the absentees for the selected date, The remaining students will be marked as present SIS --> Attendance --> Upload Student Absentees"
How to update student monthly attendance,"You can upload or enter monthly attendance by following the below path SIS --> Attendance --> Student Monthly Attendance --> Select Class, Section, Academic month, Status and hit ""Get"" --> Enter Monthly Attendance Manually/Upload Monthly Attendance This will not give you the day wise attendance report, you will get total no of working days for the selected month and the total no of Present/Absent days Note: You can not enter monthly attendance for the students who are admitted later than the selected month"
How to send SMS/Email to absent students,Follow the below path to send the SMS/Email alert to absent students SIS --> Attendance --> Send SMS to Absent students --> Send SMS to Absents/Send Email to Absents
How to give period wise attendance,"To give the period-wise attendance, First time table to be created and subjects to be assigned to the periods. And subject teachers to be assigned to the subjects, then only the subject teachers can able to take the period wise attendance. Follow the below path to take the period wise attendance. SIS --> Attendance --> Period Wise Attendance"
How to update PTM time schedule?,Follow the below path to update the PTM timings SIS --> PTM --> Schedule PTM --> View PTM Time Schedule --> Update the timings --> Save
How to schedule PTM,"Follow the below path to schedule the PTM SIS --> PTM --> Schedule PTM --> Add PTM Schedule --> Select the PTM date, Type the PTM Name/Note, --> Select the Class (for which would you like to conduct the PTM) --> Proceed"
How to update PTM feedback,"Follow the below path to update the PTM Feedback SIS --> PTM --> PTM Feedback --> Select the Class, Section, PTM and click on Get --> Click on + symbol against the student and update the feedback 1. Principal/DEO : Can update Parents attendance, Parent Suggestions, Principal Remarks, Class Teacher Remarks and Subject Teacher Remarks. 2. Computer Operator : Can update Parents attendance, Parent Suggestions, Principal Remarks, Class Teacher Remarks and Subject Teacher Remarks. 3. Class Teacher : Can update Parents attendance, Parent Suggestions, Class Teacher Remarks and Subject Teacher Remarks. 4. Subject Teacher : Can update remarks for the subjects she/he is assigned. 5. Class Coordinator : Can update remarks for the classes he/she is assigned."
How to place the request for student branch transfer,"If the student requests to move from One branch to another branch with in the organization, then follow the below path to place the request for branch transfer. SIS --> Enrollments --> Student Branch Shuffling --> New request"
How to approve shuffling request in home branch,"Principal needs to approve the branch shuffling request at home branch by following the below path SIS --> Enrollments --> Approve Shuffling Requests After approval from the home branch, this request will go to another branch, follow the below path approve the request in the another branch Finance --> Approvals --> Approve Branch Shuffling Requests"
How to register for the DLT Approval to use the SMS Service?,"For the registration of DLT approval please follow the steps given below: Step 1: As per the government norms, every organisation needs to register for DLT to make use of the SMS service. Please select the Need DLT? option that will be visible on the dashboard. Step 2: Below are the documents required for DLT registration; 1) Society/Trust registration copy 2) Society/Trust PAN card 3) Signing authority KYC documents (PAN card) Step 3: After the header approval, the SMS templates that are used on different occasions by the organisation should be approved on the DLT platform to avoid the delivery failure. Please visit https://www.myclassboard.com/SMSDLTMapping.html for approval procedure."
How to create announcements for Students/Parents?,"To create announcements for the students/parents, please follow the steps given below: Step 1: To create announcements for the students/parents , go the connect on the modules palette, select announcements module and then select new announcement under announcement menu. (Connect-->Announcements-->Announcements-->Announcement) Step 2: Fill in the details accordingly. (User type, Class/Section wise, Gender, Student Category, Student type, Class Groups & Student Segments).Make sure that the user type is Students/Parents and click Continue. Step 3: Select the announcement type , give a title for the announcement and create the announcement in the box that appears below. Attachments can also be uploaded by selecting Choose files option if there are any. Then, click on Save option. Applicable only if Approval Settings are enabled: a) If the approval settings are enabled for the announcements then, the created announcements should be approved by the principal or Co-Ordinator to get posted on the parents/students portal. b) If the approval settings are not enabled for the announcements then, the created announcements will be directly posted on the parents/students portal. APPROVAL SETTINGS: a) To give the access to the principal/Co-Ordinator for the approval of Announcements please follow the settings given below: (Settings-->Organisation-->Organisation Settings-->Communication Settings) b) To approve the announcements, please follow the settings given settings given below: (Connect-->Announcements -->Announcements-->Approve Announcements)"
How to create Announcements for the Admin Staff?,"To create announcements for the Admins, please follow the steps given below: Step 1: To create announcements for the admins , go the connect on the modules palette, select announcements module and then select create announcement for admins under announcement menu. (Connect-->Announcement-->Announcement-->Create Announcement for admins) Step 2: Click on the + icon on the top right corner and fill in the details accordingly.(location, announcement type & title) Step 3: Create the announcement in the box that will be appeared below. Attachments can also be uploaded by selecting Choose files option if there are any. Then, click on Save option."
How to create Announcement types?,"To create the announcement types , please follow the steps given below: METHOD 1 Step 1: To create the announcement types go to the connect on modules pallette, select announcements and again select announcements under announcements menu. (Connect-->Announcements-->Announcements-->Announcements) Step 2: Select on the +New Announcement option on the top right corner of the page displayed. Step 3: Fill in the all the details accordingly.(class/section wise,gender,student type &category,class groups& student segments).Then click on Continue. Step 4: A Type option can be seen on the displayed page. Select the +icon beside type option. Step 5: Select the Add option on the top right corner of the displayed box. Step 6: Create the announcement type, select the icon colour from the given drop down list and click on the tick option. Announcement type will be created/added. METHOD 2 Step 1: To create the announcement types, go to the connect on the modules pallette,go to the announcements module and select create announcements for admins under the announcement menu. (Connect-->Announcements-->Announcements-->Create Announcements for Admins) Step 2: Select the + icon which is given on the top right corner of the displayed page. Step 3: A Type option can be seen on the displayed page. Select the +icon beside type option. Step 4: Select the Add option on the top right corner of the displayed box. Step 5: Create the announcement type, select the icon colour from the given drop down list and click the tick option. Announcement type will be created/added."
How to schedule a voice message to the Students/parents or Staff?,"To schedule a voice message to the students/parents or staff, please follow the steps given below: Step 1 : To schedule a voice message to the students/parents or staff, go to the connect on the modules pallette, go to voice calls module and select schedule voice message under voice message menu. (Connect-->Voice calls-->Voice Message-->Schedule Voice Message) Step 2: Select +schedule New voice Message option. Step 3: Select the User type(student/parent/staff) and fill in the details accordingly. a) If the user type is Student/Parent, fill in the details like Class, Section, Gender, Point of Contact & Student Category. b) If the user type is Staff, fill in the details like Faculty type. Step 4: Click on the Continue Option. Step 5: Student & Parent Details or Staff Details will be displayed. (According to the user type selected). Step 6: Select the schedule date, schedule time and give a message in message box to be sent ,by selecting text to speech radio button. Voice clips can also be directly scheduled by selecting the respective clip from My clips radio button. Step 7: Select the Student &parent details or staff details to whom we have to schedule the voice message.Then, click on Schedule Voice Message option. The voice message will be scheduled."
